timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1564607828520,73,Bing Search HTTP Request,200,OK,Bing Thread Group 2-94,text,true,,112530,116,1,3,http://www.bing.com/,50,0,3
1564607828473,125,Google Search HTTP Request,200,OK,Google Thread Group 1-94,text,true,,12714,118,2,2,http://www.google.com/,124,0,40
1564607828620,74,Bing Search HTTP Request,200,OK,Bing Thread Group 2-95,text,true,,112530,116,1,3,http://www.bing.com/,52,0,3
1564607828575,123,Google Search HTTP Request,200,OK,Google Thread Group 1-95,text,true,,12618,118,2,2,http://www.google.com/,122,0,42
1564607828674,125,Google Search HTTP Request,200,OK,Google Thread Group 1-96,text,true,,12674,118,2,3,http://www.google.com/,125,0,44
1564607828819,67,Bing Search HTTP Request,200,OK,Bing Thread Group 2-97,text,true,,93090,116,2,4,http://www.bing.com/,45,0,5
1564607828719,182,Bing Search HTTP Request,200,OK,Bing Thread Group 2-96,text,true,,93084,116,1,3,http://www.bing.com/,159,0,5
1564607828775,128,Google Search HTTP Request,200,OK,Google Thread Group 1-97,text,true,,12674,118,2,2,http://www.google.com/,127,0,42
1564607828920,72,Bing Search HTTP Request,200,OK,Bing Thread Group 2-98,text,true,,112530,116,1,3,http://www.bing.com/,52,0,5
1564607828873,124,Google Search HTTP Request,200,OK,Google Thread Group 1-98,text,true,,12640,118,2,2,http://www.google.com/,123,0,44
1564607829020,69,Bing Search HTTP Request,200,OK,Bing Thread Group 2-99,text,true,,112530,116,1,3,http://www.bing.com/,49,0,3
1564607828975,122,Google Search HTTP Request,200,OK,Google Thread Group 1-99,text,true,,12654,118,2,2,http://www.google.com/,121,0,41
1564607829119,65,Bing Search HTTP Request,200,OK,Bing Thread Group 2-100,text,true,,112530,116,1,2,http://www.bing.com/,45,0,3
1564607829082,129,Google Search HTTP Request,200,OK,Google Thread Group 1-100,text,true,,12688,118,1,1,http://www.google.com/,128,0,44
